Academic Year,LSS Number,LSS Name,School Number,School Name,AP Subject Group,Students Tested,Number of Exams,Exams per Student,Mean Grade per Exam,Exams with Grades 3-5,% Exams with Grades 3-5,Create Date
2019,03,Baltimore County,0473,New Town High,All Sciences,27,27,1,1.37,2,7.4,20200210
2019,03,Baltimore County,0473,New Town High,All World Languages & Cultures,*,*,*,*,*,*,20200210
2019,03,Baltimore County,0772,Hereford High,All Subjects,594,1130,1.9,3.54,915,81,20200210
2019,03,Baltimore County,0772,Hereford High,All AP Capstone,46,46,1,3.59,*,>= 95.0,20200210
2019,03,Baltimore County,0772,Hereford High,All Arts,38,39,1,4.03,*,>= 95.0,20200210
2019,03,Baltimore County,0772,Hereford High,All English,192,192,1,3.31,142,74,20200210
2019,03,Baltimore County,0772,Hereford High,All History & Social Science,279,312,1.1,3.62,260,83.3,20200210
2019,03,Baltimore County,0772,Hereford High,All Math & Computer Science,139,176,1.3,4.38,*,>= 95.0,20200210
2019,03,Baltimore County,0772,Hereford High,All Sciences,296,314,1.1,3.16,213,67.8,20200210
2019,03,Baltimore County,0772,Hereford High,All World Languages & Cultures,51,51,1,3.04,41,80.4,20200210
2019,03,Baltimore County,0872,Dulaney High,All Subjects,723,1968,2.7,3.56,1581,80.3,20200210
2019,03,Baltimore County,0872,Dulaney High,All AP Capstone,29,29,1,3.24,23,79.3,20200210
2019,03,Baltimore County,0872,Dulaney High,All Arts,36,37,1,4.03,35,94.6,20200210
2019,03,Baltimore County,0872,Dulaney High,All English,244,245,1,3.56,205,83.7,20200210
2019,03,Baltimore County,0872,Dulaney High,All History & Social Science,535,851,1.6,3.64,699,82.1,20200210
2019,03,Baltimore County,0872,Dulaney High,All Math & Computer Science,349,414,1.2,3.54,338,81.6,20200210
2019,03,Baltimore County,0872,Dulaney High,All Sciences,309,358,1.2,3.35,247,69,20200210
2019,03,Baltimore County,0872,Dulaney High,All World Languages & Cultures,34,34,1,3.79,*,>= 95.0,20200210
2019,03,Baltimore County,0971,Towson High Law & Public Policy,All Subjects,555,1280,2.3,3.62,1065,83.2,20200210
2019,03,Baltimore County,0971,Towson High Law & Public Policy,All Arts,40,40,1,3.93,37,92.5,20200210
2019,03,Baltimore County,0971,Towson High Law & Public Policy,All English,251,251,1,3.35,198,78.9,20200210
2019,03,Baltimore County,0971,Towson High Law & Public Policy,All History & Social Science,375,479,1.3,3.81,415,86.6,20200210
2019,03,Baltimore County,0971,Towson High Law & Public Policy,All Math & Computer Science,203,227,1.1,3.81,195,85.9,20200210
2019,03,Baltimore County,0971,Towson High Law & Public Policy,All Sciences,145,190,1.3,3.47,154,81.1,20200210
2019,03,Baltimore County,0971,Towson High Law & Public Policy,All World Languages & Cultures,91,93,1,3,66,71,20200210
2019,03,Baltimore County,0972,Parkville High & Center for Math/Science,All Subjects,165,335,2,3.09,230,68.7,20200210
2019,03,Baltimore County,0972,Parkville High & Center for Math/Science,All Arts,*,*,*,*,*,*,20200210
2019,03,Baltimore County,0972,Parkville High & Center for Math/Science,All English,39,39,1,2.72,23,59,20200210
2019,03,Baltimore County,0972,Parkville High & Center for Math/Science,All History & Social Science,128,173,1.4,3.11,121,69.9,20200210
2019,03,Baltimore County,0972,Parkville High & Center for Math/Science,All Math & Computer Science,63,67,1.1,3.37,53,79.1,20200210
2019,03,Baltimore County,0972,Parkville High & Center for Math/Science,All Sciences,37,41,1.1,2.68,21,51.2,20200210
